Date	Msg
2016-09-26	721727652
2016-09-27	713735933
2016-09-28	696954204
2016-09-29	685356696
2016-09-30	673660471
2016-10-01	663555407
2016-10-02	689436014
2016-10-03	702908918
2016-10-04	687125836
2016-10-05	696720029
2016-10-06	702095085
2016-10-07	690937431
2016-10-08	659101079
2016-10-09	696090020
2016-10-10	697725808
2016-10-11	698065272
2016-10-12	678625246
2016-10-13	701403393
2016-10-14	685867545
2016-10-15	688844281
2016-10-16	711571869
2016-10-17	713928580
2016-10-18	683891168
2016-10-19	715348195
2016-10-20	823800283
2016-10-21	695243793
2016-10-22	683406182
2016-10-23	719561116
2016-10-24	701671610
2016-10-25	718087579
2016-10-26	689608320
2016-10-27	698426867
2016-10-28	695476365
2016-10-29	681561861
2016-10-30	705901928
2016-10-31	697742452
2016-11-01	689719018
2016-11-02	679251185
2016-11-03	687981728
2016-11-04	580727159
2016-11-05	664938630
2016-11-06	692300455
2016-11-07	695333196
2016-11-08	687135503
2016-11-09	677932052
2016-11-10	672148413
2016-11-11	661326891
2016-11-12	638316034
2016-11-13	670798682
2016-11-14	683206729
2016-11-15	672236613
2016-11-16	676381329
2016-11-17	677523554
2016-11-18	664221921
2016-11-19	652165011
2016-11-20	706353317
2016-11-21	689203711
2016-11-22	684840270
2016-11-23	680068455
2016-11-24	674185547
2016-11-25	665626648
2016-11-26	644502223
2016-11-27	665093738
2016-11-28	672086233
2016-11-29	675145943
2016-11-30	686511382
2016-12-01	673078544
2016-12-02	670619396
2016-12-03	640112147
2016-12-04	676225469
2016-12-05	681505726
2016-12-06	679006678
2016-12-07	663492562
2016-12-08	650440170
2016-12-09	645237383
2016-12-10	618011960
2016-12-11	664589669
2016-12-12	697959431
2016-12-13	684106464
2016-12-14	672259715
2016-12-15	678887923
2016-12-16	673883546
2016-12-17	616259831
2016-12-18	655434747
2016-12-19	698076840
2016-12-20	690773299
2016-12-21	689081825
2016-12-22	683881542
2016-12-23	681641073
2016-12-24	722392517
2016-12-25	704009531
2016-12-26	694419507
2016-12-27	680402928
2016-12-28	662344879
2016-12-29	681106575
2016-12-30	674428818
2016-12-31	
2017-01-01	736630108
2017-01-02	704693627
2017-01-03	675954372
2017-01-04	694667994
2017-01-05	676109460
2017-01-06	667036526
2017-01-07	643968866
2017-01-08	636799270
2017-01-09	688585530
2017-01-10	702155839
2017-01-11	745766238
2017-01-12	745110073
2017-01-13	687168293
2017-01-14	662696221
2017-01-15	
2017-01-16	685475534
2017-01-17	673396990
2017-01-18	661409413
2017-01-19	658524977
2017-01-20	663069867
2017-01-21	622996296
2017-01-22	611631558
2017-01-23	631942584
2017-01-24	626956321
2017-01-25	616598326
2017-01-26	573880928
2017-01-27	604739429
2017-01-28	
2017-01-29	592630060
2017-01-30	619176903
2017-01-31	638806196
2017-02-01	714689763
2017-02-02	
2017-02-03	
2017-02-04	529945344
2017-02-05	700179608
2017-02-06	
