Date,Zalo,FBM,Bigo,Viber
10/27/2016,2,3,20,19
10/28/2016,1,2,21,19
10/29/2016,2,1,23,17
10/30/2016,3,2,25,21
10/31/2016,1,2,21,18
11/01/2016,1,2,23,16
11/02/2016,1,2,25,13
11/03/2016,1,2,18,15
11/04/2016,2,1,19,12
11/05/2016,3,1,25,13
11/06/2016,3,1,19,14
11/07/2016,3,1,23,13
11/08/2016,2,1,24,17
11/09/2016,2,1,24,16
11/10/2016,3,1,25,20
11/11/2016,3,1,24,9
11/12/2016,3,1,20,10
11/13/2016,3,1,24,14
11/14/2016,3,1,22,15
11/15/2016,3,1,20,14
11/16/2016,1,2,20,13
11/17/2016,2,1,20,14
11/18/2016,2,1,17,12
11/19/2016,3,1,19,12
11/20/2016,3,1,21,11
11/21/2016,2,1,19,15
11/22/2016,3,2,20,11
11/23/2016,3,2,20,14
12/04/2016,1,2,13,19
12/04/2016,1,2,13,19
12/05/2016,1,2,10,-1
12/06/2016,1,2,10,19
12/07/2016,1,2,16,18
12/08/2016,1,2,17,19
12/09/2016,1,2,16,19
12/10/2016,2,1,17,19
12/11/2016,3,1,18,19
12/12/2016,2,1,19,22
12/13/2016,1,2,17,20
12/14/2016,1,2,15,20
12/14/2016,1,2,15,20
12/14/2016,1,2,15,20
12/14/2016,1,2,15,20
12/15/2016,1,2,14,21
12/16/2016,2,3,15,21
12/17/2016,4,3,18,22
12/18/2016,4,3,17,25
12/19/2016,4,3,17,24
12/20/2016,4,2,18,24
12/21/2016,4,2,19,22
12/22/2016,4,2,20,22
12/23/2016,3,1,20,21
12/24/2016,3,2,26,25
12/25/2016,3,2,27,25
12/26/2016,2,3,25,23
12/27/2016,3,2,18,22
12/28/2016,2,1,21,24
12/29/2016,2,1,20,25
12/30/2016,2,1,19,24
12/31/2016,3,1,23,24
01/01/2017,3,1,22,25
01/02/2017,2,1,21,25
01/03/2017,1,3,20,22
01/04/2017,1,2,17,22
01/05/2017,1,2,19,23
01/06/2017,1,3,17,21
01/07/2017,1,3,20,21
01/08/2017,2,3,20,23
01/09/2017,2,3,18,19
01/10/2017,1,3,20,22
01/11/2017,2,5,21,23
01/12/2017,3,5,22,20
01/13/2017,3,4,24,22
01/14/2017,4,3,25,23
01/15/2017,5,3,23,24
01/16/2017,3,2,24,22
01/17/2017,1,3,22,19
