Platform,Date,App ID,App Name,Publisher ID,Publisher Name,Update Type,Previous Value,New Value,Notes
Google Play,2016-11-10,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.11.08,2016.11.09,Now you can see your call history and missed calls—all in one place.
Google Play,2016-11-15,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.11.09,2016.11.14,Now you can see your call history and missed calls—all in one place.
Google Play,2016-11-17,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.11.14,2016.11.16,Now you can see your call history and missed calls—all in one place.
Google Play,2016-11-22,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.11.16,2016.11.21,Now you can see your call history and missed calls—all in one place.
Google Play,2016-11-24,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.11.21,2016.11.23,Now you can see your call history and missed calls—all in one place.
Google Play,2016-12-06,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.11.23,2016.12.05,Now you can see your call history and missed calls—all in one place.
Google Play,2016-12-08,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.12.05,2016.12.07,Now you can see your call history and missed calls—all in one place.
Google Play,2016-12-13,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.12.07,2016.12.12,Now you can see your call history and missed calls—all in one place.
Google Play,2016-12-16,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.12.12,2016.12.15,Now you can see your call history and missed calls—all in one place.
Google Play,2017-01-18,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.12.15,2017.01.17,Now you can see your call history and missed calls—all in one place.
Google Play,2017-01-20,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2017.01.17,2017.01.19,Now you can see your call history and missed calls—all in one place.
Google Play,2017-01-24,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2017.01.19,2017.01.23,Now you can see your call history and missed calls—all in one place.
Google Play,2017-01-25,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2017.01.23,2017.01.24,Now you can see your call history and missed calls—all in one place.
Google Play,2017-01-27,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2017.01.24,2017.01.26,Now you can see your call history and missed calls—all in one place.
Google Play,2017-01-31,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2017.01.26,2017.01.30,Now you can see your call history and missed calls—all in one place.
Google Play,2017-02-02,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2017.01.30,2017.02.01,Now you can see your call history and missed calls—all in one place.
