Date,FBM,Zalo,Viber,Mocha,Bigo
08-08-2013,20,4,3,0,0
08-09-2013,20,4,3,0,0
08-10-2013,20,4,3,0,0
08-11-2013,21,4,3,0,0
08-12-2013,21,4,3,0,0
08-13-2013,21,4,3,0,0
08-14-2013,21,4,3,0,0
08-15-2013,20,4,3,0,0
08-16-2013,20,4,3,0,0
08-17-2013,20,4,3,0,0
08-18-2013,20,4,3,0,0
08-19-2013,20,4,3,0,0
08-20-2013,20,4,3,0,0
08-21-2013,20,4,3,0,0
08-22-2013,20,4,3,0,0
08-23-2013,20,4,3,0,0
08-24-2013,18,4,3,0,0
08-25-2013,18,4,3,0,0
08-26-2013,18,3,4,0,0
08-27-2013,18,3,4,0,0
08-28-2013,17,3,4,0,0
08-29-2013,17,3,4,0,0
08-30-2013,17,3,4,0,0
08-31-2013,18,3,4,0,0
09-01-2013,17,3,4,0,0
09-02-2013,19,3,4,0,0
09-03-2013,18,3,4,0,0
09-04-2013,18,3,4,0,0
09-05-2013,18,2,4,0,0
09-06-2013,18,2,4,0,0
09-07-2013,19,2,4,0,0
09-08-2013,19,2,4,0,0
09-09-2013,19,2,4,0,0
09-10-2013,20,2,4,0,0
09-11-2013,20,2,4,0,0
09-12-2013,22,2,4,0,0
09-13-2013,22,2,4,0,0
09-14-2013,25,2,4,0,0
09-15-2013,25,2,4,0,0
09-16-2013,25,2,4,0,0
09-17-2013,27,2,4,0,0
09-18-2013,27,2,4,0,0
09-19-2013,27,2,4,0,0
09-20-2013,27,2,4,0,0
09-21-2013,27,2,4,0,0
09-22-2013,27,2,4,0,0
09-23-2013,28,2,4,0,0
09-24-2013,28,2,4,0,0
09-25-2013,28,2,4,0,0
09-26-2013,27,2,4,0,0
09-27-2013,28,2,4,0,0
09-28-2013,27,2,4,0,0
09-29-2013,24,2,4,0,0
09-30-2013,24,2,4,0,0
10-01-2013,23,2,4,0,0
10-02-2013,22,2,4,0,0
10-03-2013,21,2,4,0,0
10-04-2013,21,2,4,0,0
10-05-2013,21,2,4,0,0
10-06-2013,21,2,4,0,0
10-07-2013,21,2,4,0,0
10-08-2013,20,2,4,0,0
10-09-2013,19,2,4,0,0
10-10-2013,18,2,4,0,0
10-11-2013,20,2,4,0,0
10-12-2013,18,2,4,0,0
10-13-2013,18,2,4,0,0
10-14-2013,18,2,4,0,0
10-15-2013,18,2,4,0,0
10-16-2013,18,2,4,0,0
10-17-2013,17,2,4,0,0
10-18-2013,16,2,4,0,0
10-19-2013,17,2,4,0,0
