Date,Zalo,FBM,Bigo,Viber,Mocha
11-25-2012,105,33,0,4,0
11-26-2012,99,33,0,4,0
11-27-2012,96,30,0,4,0
11-28-2012,96,30,0,4,0
11-29-2012,91,29,0,4,0
11-30-2012,90,29,0,4,0
12-01-2012,101,28,0,5,0
12-02-2012,101,31,0,5,0
12-03-2012,102,32,0,5,0
12-04-2012,102,32,0,5,0
12-05-2012,102,32,0,5,0
12-06-2012,107,33,0,5,0
12-07-2012,116,22,0,5,0
12-08-2012,121,19,0,5,0
12-09-2012,121,18,0,4,0
12-10-2012,116,15,0,4,0
12-11-2012,112,13,0,4,0
12-12-2012,108,12,0,4,0
12-13-2012,91,13,0,4,0
12-14-2012,91,13,0,4,0
12-15-2012,78,14,0,4,0
12-16-2012,77,15,0,4,0
12-17-2012,73,15,0,4,0
12-18-2012,55,15,0,4,0
12-19-2012,45,16,0,4,0
12-20-2012,39,16,0,4,0
12-21-2012,31,15,0,6,0
12-22-2012,24,12,0,6,0
12-23-2012,23,11,0,5,0
12-24-2012,21,11,0,6,0
12-25-2012,21,11,0,6,0
12-26-2012,24,11,0,6,0
12-27-2012,26,12,0,6,0
12-28-2012,25,12,0,6,0
12-29-2012,25,12,0,6,0
12-30-2012,20,13,0,6,0
12-31-2012,21,18,0,6,0
01-01-2013,23,21,0,6,0
01-02-2013,23,21,0,7,0
01-03-2013,22,23,0,7,0
01-04-2013,23,21,0,6,0
01-05-2013,22,20,0,6,0
01-06-2013,23,18,0,6,0
01-07-2013,23,19,0,5,0
01-08-2013,22,20,0,5,0
01-09-2013,19,20,0,5,0
01-10-2013,15,21,0,5,0
01-11-2013,15,21,0,5,0
01-12-2013,12,26,0,6,0
01-13-2013,12,26,0,6,0
01-14-2013,8,28,0,6,0
01-15-2013,9,29,0,6,0
01-16-2013,8,29,0,5,0
01-17-2013,8,30,0,5,0
01-18-2013,8,29,0,4,0
01-19-2013,7,29,0,4,0
01-20-2013,7,30,0,4,0
01-21-2013,6,29,0,4,0
01-22-2013,6,29,0,5,0
01-23-2013,6,28,0,4,0
01-24-2013,6,30,0,4,0
01-25-2013,7,30,0,4,0
01-26-2013,8,29,0,4,0
01-27-2013,9,29,0,4,0
01-28-2013,11,26,0,4,0
01-29-2013,13,24,0,4,0
01-30-2013,14,24,0,3,0
01-31-2013,15,22,0,3,0
02-01-2013,16,21,0,3,0
02-02-2013,14,19,0,3,0
02-03-2013,12,21,0,3,0
02-04-2013,13,23,0,4,0
02-05-2013,12,24,0,4,0
02-06-2013,12,23,0,4,0
02-07-2013,12,27,0,4,0
02-08-2013,11,27,0,4,0
02-09-2013,13,28,0,5,0
02-10-2013,15,27,0,5,0
02-11-2013,15,27,0,6,0
02-12-2013,15,27,0,6,0
02-13-2013,15,26,0,6,0
02-14-2013,15,26,0,6,0
02-15-2013,19,23,0,7,0
02-16-2013,19,23,0,7,0
02-17-2013,20,22,0,7,0
02-18-2013,19,21,0,7,0
02-19-2013,18,21,0,6,0
02-20-2013,18,21,0,6,0
02-21-2013,16,21,0,5,0
02-22-2013,15,22,0,5,0
02-23-2013,16,22,0,5,0
02-24-2013,16,24,0,4,0
02-25-2013,15,24,0,4,0
02-26-2013,15,22,0,3,0
02-27-2013,15,22,0,3,0
02-28-2013,14,22,0,3,0
03-01-2013,9,22,0,3,0
03-02-2013,8,22,0,3,0
03-03-2013,7,22,0,3,0
03-04-2013,7,21,0,3,0
03-05-2013,7,22,0,3,0
03-06-2013,6,24,0,3,0
03-07-2013,6,22,0,3,0
03-08-2013,6,22,0,3,0
03-09-2013,7,24,0,3,0
03-10-2013,6,25,0,3,0
03-11-2013,6,24,0,3,0
03-12-2013,6,24,0,3,0
03-13-2013,6,24,0,3,0
03-14-2013,6,22,0,3,0
03-15-2013,6,22,0,3,0
03-16-2013,8,23,0,3,0
03-17-2013,8,23,0,3,0
03-18-2013,8,24,0,3,0
03-19-2013,7,24,0,3,0
03-20-2013,7,24,0,3,0
03-21-2013,6,24,0,3,0
03-22-2013,5,24,0,3,0
03-23-2013,5,25,0,3,0
03-24-2013,5,24,0,3,0
03-25-2013,5,24,0,3,0
03-26-2013,5,25,0,3,0
03-27-2013,5,25,0,3,0
03-28-2013,5,27,0,3,0
03-29-2013,5,28,0,3,0
03-30-2013,5,29,0,3,0
03-31-2013,5,29,0,3,0
04-01-2013,5,27,0,3,0
04-02-2013,5,28,0,3,0
04-03-2013,5,27,0,3,0
04-04-2013,5,26,0,3,0
04-05-2013,5,26,0,3,0
04-06-2013,5,28,0,2,0
04-07-2013,5,27,0,2,0
04-08-2013,4,26,0,2,0
04-09-2013,4,26,0,2,0
04-10-2013,4,25,0,2,0
04-11-2013,4,25,0,2,0
04-12-2013,4,25,0,2,0
04-13-2013,4,23,0,2,0
04-14-2013,4,23,0,2,0
04-15-2013,4,23,0,2,0
04-16-2013,4,22,0,2,0
04-17-2013,4,20,0,2,0
04-18-2013,4,18,0,2,0
04-19-2013,4,18,0,2,0
04-20-2013,5,19,0,2,0
04-21-2013,5,19,0,2,0
04-22-2013,5,19,0,2,0
04-23-2013,5,19,0,2,0
04-24-2013,5,19,0,2,0
04-25-2013,5,19,0,2,0
04-26-2013,5,20,0,2,0
04-27-2013,5,19,0,2,0
04-28-2013,5,19,0,2,0
04-29-2013,5,21,0,2,0
04-30-2013,4,22,0,2,0
05-01-2013,4,21,0,2,0
05-02-2013,5,20,0,2,0
05-03-2013,4,19,0,2,0
05-04-2013,4,22,0,2,0
05-05-2013,4,20,0,2,0
05-06-2013,4,20,0,2,0
05-07-2013,4,19,0,2,0
05-08-2013,4,18,0,2,0
05-09-2013,4,18,0,2,0
05-10-2013,4,20,0,2,0
05-11-2013,4,20,0,2,0
05-12-2013,4,21,0,2,0
05-13-2013,4,19,0,2,0
05-14-2013,4,18,0,2,0
05-15-2013,4,19,0,2,0
05-16-2013,4,19,0,2,0
05-17-2013,4,19,0,2,0
05-18-2013,4,19,0,2,0
05-19-2013,4,20,0,2,0
05-20-2013,4,20,0,2,0
05-21-2013,4,20,0,2,0
05-22-2013,4,20,0,2,0
05-23-2013,4,20,0,2,0
05-24-2013,4,20,0,2,0
05-25-2013,4,19,0,2,0
05-26-2013,4,19,0,2,0
05-27-2013,4,19,0,2,0
05-28-2013,4,21,0,2,0
05-29-2013,4,22,0,2,0
05-30-2013,4,22,0,2,0
05-31-2013,4,21,0,2,0
06-01-2013,4,20,0,2,0
06-02-2013,4,20,0,2,0
06-03-2013,4,19,0,2,0
06-04-2013,4,19,0,2,0
06-05-2013,4,18,0,3,0
06-06-2013,4,19,0,3,0
06-07-2013,4,18,0,3,0
06-08-2013,4,18,0,2,0
06-09-2013,4,20,0,2,0
06-10-2013,4,21,0,2,0
06-11-2013,4,21,0,2,0
06-12-2013,4,20,0,2,0
06-13-2013,4,20,0,2,0
06-14-2013,4,20,0,2,0
06-15-2013,4,21,0,2,0
06-16-2013,4,20,0,2,0
06-17-2013,4,20,0,2,0
06-18-2013,4,20,0,2,0
06-19-2013,4,20,0,2,0
06-20-2013,4,19,0,2,0
06-21-2013,4,19,0,2,0
06-22-2013,4,21,0,2,0
06-23-2013,3,22,0,2,0
06-24-2013,3,22,0,2,0
06-25-2013,3,21,0,2,0
06-26-2013,3,22,0,2,0
06-27-2013,3,22,0,2,0
06-28-2013,3,22,0,2,0
06-29-2013,3,23,0,2,0
06-30-2013,3,21,0,2,0
07-01-2013,3,21,0,2,0
07-02-2013,4,20,0,2,0
07-03-2013,4,19,0,2,0
07-04-2013,4,16,0,2,0
07-05-2013,4,15,0,2,0
07-06-2013,4,15,0,2,0
07-07-2013,4,15,0,2,0
07-08-2013,4,15,0,2,0
07-09-2013,4,15,0,2,0
07-10-2013,4,16,0,2,0
07-11-2013,4,18,0,2,0
07-12-2013,4,18,0,2,0
07-13-2013,4,20,0,2,0
07-14-2013,4,21,0,2,0
07-15-2013,4,22,0,2,0
07-16-2013,4,23,0,2,0
07-17-2013,4,23,0,3,0
07-18-2013,4,23,0,3,0
07-19-2013,4,24,0,3,0
07-20-2013,4,23,0,3,0
07-21-2013,4,22,0,3,0
07-22-2013,5,23,0,3,0
07-23-2013,5,24,0,4,0
07-24-2013,5,24,0,4,0
07-25-2013,5,22,0,4,0
07-26-2013,5,22,0,4,0
07-27-2013,5,21,0,4,0
07-28-2013,5,22,0,4,0
07-29-2013,5,22,0,4,0
07-30-2013,5,20,0,4,0
07-31-2013,5,22,0,3,0
08-01-2013,4,21,0,3,0
08-02-2013,4,21,0,3,0
08-03-2013,5,20,0,3,0
08-04-2013,5,20,0,3,0
08-05-2013,5,19,0,4,0
08-06-2013,5,21,0,3,0
08-07-2013,4,20,0,3,0
08-08-2013,4,20,0,3,0
08-09-2013,4,20,0,3,0
08-10-2013,4,20,0,3,0
08-11-2013,4,21,0,3,0
08-12-2013,4,21,0,3,0
08-13-2013,4,21,0,3,0
08-14-2013,4,21,0,3,0
08-15-2013,4,20,0,3,0
08-16-2013,4,20,0,3,0
08-17-2013,4,20,0,3,0
08-18-2013,4,20,0,3,0
08-19-2013,4,20,0,3,0
08-20-2013,4,20,0,3,0
08-21-2013,4,20,0,3,0
08-22-2013,4,20,0,3,0
08-23-2013,4,20,0,3,0
08-24-2013,4,18,0,3,0
08-25-2013,4,18,0,3,0
08-26-2013,3,18,0,4,0
08-27-2013,3,18,0,4,0
08-28-2013,3,17,0,4,0
08-29-2013,3,17,0,4,0
08-30-2013,3,17,0,4,0
08-31-2013,3,18,0,4,0
09-01-2013,3,17,0,4,0
09-02-2013,3,19,0,4,0
09-03-2013,3,18,0,4,0
09-04-2013,3,18,0,4,0
09-05-2013,2,18,0,4,0
09-06-2013,2,18,0,4,0
09-07-2013,2,19,0,4,0
09-08-2013,2,19,0,4,0
09-09-2013,2,19,0,4,0
09-10-2013,2,20,0,4,0
09-11-2013,2,20,0,4,0
09-12-2013,2,22,0,4,0
09-13-2013,2,22,0,4,0
09-14-2013,2,25,0,4,0
09-15-2013,2,25,0,4,0
09-16-2013,2,25,0,4,0
09-17-2013,2,27,0,4,0
09-18-2013,2,27,0,4,0
09-19-2013,2,27,0,4,0
09-20-2013,2,27,0,4,0
09-21-2013,2,27,0,4,0
09-22-2013,2,27,0,4,0
09-23-2013,2,28,0,4,0
09-24-2013,2,28,0,4,0
09-25-2013,2,28,0,4,0
09-26-2013,2,27,0,4,0
09-27-2013,2,28,0,4,0
09-28-2013,2,27,0,4,0
09-29-2013,2,24,0,4,0
09-30-2013,2,24,0,4,0
10-01-2013,2,23,0,4,0
10-02-2013,2,22,0,4,0
10-03-2013,2,21,0,4,0
10-04-2013,2,21,0,4,0
10-05-2013,2,21,0,4,0
