Report,Rank History
App ID,com.tencent.mm
App,WeChat
Market,Google Play
Countries,Vietnam
Device,-
Start Date,01/08/2016
End Date,02/08/2017
Date Generated,02/07/2017 22:55:45 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Android Wear (Applications),Applications,Communication (Applications)
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/15/2016,Downloads,105,0,51,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/16/2016,Downloads,98,0,46,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/17/2016,Downloads,92,0,46,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/18/2016,Downloads,96,0,47,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/19/2016,Downloads,97,0,49,8
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/20/2016,Downloads,99,0,47,8
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/21/2016,Downloads,96,0,45,8
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/22/2016,Downloads,96,0,44,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/23/2016,Downloads,93,0,46,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/24/2016,Downloads,85,0,42,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/25/2016,Downloads,84,0,42,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/26/2016,Downloads,86,0,44,7
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/27/2016,Downloads,90,0,43,6
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/28/2016,Downloads,97,0,44,6
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/29/2016,Downloads,95,0,45,6
Google Play,-,Vietnam,com.tencent.mm,WeChat,20200001426669,WeChat Tencent,03/30/2016,Downloads,93,0,44,6
