Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,01/01/2016
End Date,02/08/2017
Date Generated,02/07/2017 22:57:46 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/08/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/09/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/10/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/11/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/12/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/13/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/14/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/15/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/16/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/17/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/18/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/19/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/20/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/21/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/22/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/23/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/24/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/25/2016,Downloads,1,1,1
